candidate_id,environment_id,candidate_type,source_endpoint_id,target_endpoint_or_segment_id,source_shape_id,target_shape_id,distance,closest_t_if_applicable,closest_x,closest_y,already_connected,source_anomaly_involved,ambiguous,first_candidate_relative_tolerance,first_candidate_absolute_tolerance,review_notes
env38_near_miss_0001,38,endpoint_endpoint,env38_shape_4330855547524397474_segment_0032:p2,env38_shape_4330855547829185599_segment_0023:p2,env38_shape_4330855547524397474,env38_shape_4330855547829185599,0.2311830520518305,,40.94345,-7.055625,False,False,False,0.0005,0.3508282710426595,
env38_near_miss_0002,38,endpoint_endpoint,env38_shape_4330855547829185599_segment_0013:p2,env38_shape_4330855547529842337_segment_0003:p0,env38_shape_4330855547829185599,env38_shape_4330855547529842337,0.38521265833433416,,72.66594,114.315727,False,False,True,0.001,0.701656542085319,
env38_near_miss_0003,38,endpoint_endpoint,env38_shape_4330855547524397474_segment_0016:p2,env38_shape_4330855547456548042_segment_0007:p2,env38_shape_4330855547524397474,env38_shape_4330855547456548042,0.5053809538249205,,338.264374,146.771729,False,False,True,0.001,0.701656542085319,
env38_near_miss_0004,38,endpoint_interior,env38_shape_4330855547529842337_segment_0024:p2,env38_shape_4330855546755831596_segment_0001,env38_shape_4330855547529842337,env38_shape_4330855546755831596,0.016782323415295446,0.7609584195401946,160.78427568900406,171.9293260734643,False,False,False,5e-05,0.03508282710426595,
env38_near_miss_0005,38,endpoint_interior,env38_shape_4330855547456548042_segment_0032:p2,env38_shape_4330855547456548042_segment_0029,env38_shape_4330855547456548042,env38_shape_4330855547456548042,0.168201591606678,0.6449054304094,196.53607937912,266.3533531965212,False,False,False,0.0005,0.3508282710426595,
env38_near_miss_0006,38,endpoint_interior,env38_shape_4330855547456548042_segment_0007:p2,env38_shape_4330855546755831596_segment_0004,env38_shape_4330855547456548042,env38_shape_4330855546755831596,0.2110120587419884,0.4651401434024125,338.4182595016601,146.62734984183183,False,False,True,0.0005,0.3508282710426595,
env38_near_miss_0007,38,endpoint_interior,env38_shape_4330855547529842337_segment_0012:p2,env38_shape_4330855547456548042_segment_0024,env38_shape_4330855547529842337,env38_shape_4330855547456548042,0.27065077203670823,0.28495964291078524,190.78176389213095,232.14069575892785,False,False,True,0.0005,0.3508282710426595,
env38_near_miss_0008,38,endpoint_interior,env38_shape_4330855547524397474_segment_0016:p2,env38_shape_4330855547456548042_segment_0008,env38_shape_4330855547524397474,env38_shape_4330855547456548042,0.2973687152981308,0.013653303179255886,338.2644097141936,147.1803633701031,False,False,True,0.0005,0.3508282710426595,
env38_near_miss_0009,38,endpoint_interior,env38_shape_4330855547456548042_segment_0030:p2,env38_shape_4330855547456548042_segment_0024,env38_shape_4330855547456548042,env38_shape_4330855547456548042,0.32586423148812077,0.3078797928506922,189.06326778282659,232.14410059159607,False,False,False,0.0005,0.3508282710426595,
env38_near_miss_0010,38,endpoint_interior,env38_shape_4330855547529842337_segment_0003:p0,env38_shape_4330855547829185599_segment_0014,env38_shape_4330855547529842337,env38_shape_4330855547829185599,0.3444123530110425,0.007594343688803409,72.32164673014152,114.32478311598628,False,False,True,0.0005,0.3508282710426595,
env38_near_miss_0011,38,endpoint_interior,env38_shape_4330855547456548042_segment_0014:p2,env38_shape_4330855547456548042_segment_0004,env38_shape_4330855547456548042,env38_shape_4330855547456548042,0.3786690920245924,0.6134939305125733,392.9593069981148,322.6048088081588,False,False,False,0.001,0.701656542085319,
env38_near_miss_0012,38,endpoint_interior,env38_shape_4330855547456548042_segment_0007:p2,env38_shape_4330855547524397474_segment_0016,env38_shape_4330855547456548042,env38_shape_4330855547524397474,0.418602573440509,0.9930944369715659,337.8707289310019,146.91410762952185,False,False,True,0.001,0.701656542085319,
env38_near_miss_0013,38,endpoint_interior,env38_shape_4330855547529842337_segment_0012:p2,env38_shape_4330855547456548042_segment_0030,env38_shape_4330855547529842337,env38_shape_4330855547456548042,0.5721400055331666,0.9252059801554244,190.78926050688884,231.83924833589418,False,False,True,0.001,0.701656542085319,
env39_near_miss_0001,39,endpoint_interior,env39_shape_3305298596651482022_segment_0024:p2,env39_shape_3305298596651482022_segment_0007,env39_shape_3305298596651482022,env39_shape_3305298596651482022,0.057321383705410955,0.39684790238496254,40.515010579341414,4.323910667363311,False,False,False,0.0001,0.0701656542085319,
env39_near_miss_0002,39,endpoint_interior,env39_shape_3305298596651482022_segment_0006:p2,env39_shape_3305298596651482022_segment_0004,env39_shape_3305298596651482022,env39_shape_3305298596651482022,0.0998375089084779,0.9009072135402926,38.60114718704191,224.95742884681596,False,False,False,0.0002,0.1403313084170638,
env39_near_miss_0003,39,endpoint_interior,env39_shape_3305298596651482022_segment_0031:p2,env39_shape_3305298596651482022_segment_0017,env39_shape_3305298596651482022,env39_shape_3305298596651482022,0.11677451827423936,0.6861161954242819,201.53504494872294,309.37587445870685,False,False,False,0.0002,0.1403313084170638,
env39_near_miss_0004,39,endpoint_interior,env39_shape_3305298596651482022_segment_0028:p2,env39_shape_3305298596651482022_segment_0011,env39_shape_3305298596651482022,env39_shape_3305298596651482022,0.24569058862524276,0.11299719022995298,319.6631558472148,267.53294343832187,False,False,False,0.0005,0.3508282710426595,
