metric,Env38,Env39,absolute_difference_env38_minus_env39,relative_difference_vs_env39
H_o_nats,3.0131094587621066,1.5143534129805727,1.4987560457815339,
H_w_nats,3.1312256499064475,1.381012158514464,1.7502134913919836,
phi,0.4518145655192265,0.9966031867759313,-0.5447886212567048,
node_count,60,51,9,0.17647058823529413
street_segment_count,84,70,14,0.2
component_count,1,1,0,0.0
total_street_length_unity,5173.197186865086,5008.303760229,164.8934266360866,0.032924006715708276
mean_street_length_unity,61.58568079601293,71.5471965747,-9.961515778687065,-0.13922999440357647
median_street_length_unity,51.63582671892276,58.786673719117275,-7.150847000194517,-0.12164061253680152
average_streets_per_node,2.8,2.7450980392156863,0.05490196078431353,0.019999999999999928
dead_end_count,21,19,2,0.10526315789473684
dead_end_proportion,0.35,0.37254901960784315,-0.022549019607843168,-0.06052631578947377
three_way_count,9,7,2,0.2857142857142857
three_way_proportion,0.15,0.13725490196078433,0.012745098039215669,0.09285714285714272
four_way_count,30,25,5,0.2
four_way_proportion,0.5,0.49019607843137253,0.009803921568627472,0.020000000000000042
degree_ge_5_count,0,0,0,
aggregate_circuity,1.0213150770501422,1.0233180457073998,-0.0020029686572575756,-0.0019573276027522435
mean_edge_circuity,1.0183127736327648,1.0093689453989059,0.008943828233858975,0.00886081177217548
median_edge_circuity,1.002327065680324,1.0,0.0023270656803240364,0.0023270656803240364
canonical_snapping_tolerance,0.0,0.0,0.0,
