environment_id,relative_tolerance,absolute_tolerance_unity_world_units,total_polyline_vertex_count,total_polyline_segment_count,minimum_vertices_per_bezier,maximum_vertices_per_bezier,median_vertices_per_bezier,reference_total_length_unity_world_units,total_polyline_length_unity_world_units,aggregate_absolute_length_error_unity_world_units,aggregate_relative_length_error,maximum_nonzero_segment_relative_length_error,maximum_ordinary_segment_relative_length_error,maximum_segment_length_change_to_next_finer_unity_world_units,maximum_segment_relative_length_change_to_next_finer,aggregate_total_length_relative_change_to_next_finer
38,0.001,0.701656542085319,278,158,2,9,2.0,5173.411044840865,5172.389093543512,1.0219512973513987,0.0001975391648746971,0.0021233801851733352,0.0021233801851733352,0.16586353863803538,0.0014781484758980138,0.00013601999905031486
38,0.0005,0.3508282710426595,314,194,2,17,2.0,5173.411044840865,5173.092737612769,0.3183072280956892,6.15275347999108e-05,0.0012780113634005337,0.0012780113634005337,0.03166073613162723,0.000850114501055078,1.362198526060499e-05
38,0.0002,0.1403313084170638,324,204,2,17,2.0,5173.411044840865,5173.163206365717,0.24783847514786422,4.790620211688356e-05,0.0006461868694114874,0.0006461868694114874,0.041413726401344775,0.0004731780288781722,3.378921341566807e-05
38,0.0001,0.0701656542085319,395,275,2,33,2.0,5173.411044840865,5173.338009387788,0.07303545307656585,1.4117465719140907e-05,0.0002109946811557532,0.0002109946811557532,0.004039695383490027,0.00010232812418272294,2.3121804094819635e-06
38,5e-05,0.03508282710426595,413,293,2,33,2.0,5173.411044840865,5173.349971106242,0.061073734622971124,1.1805312605863075e-05,0.00011751275755544722,0.00011751275755544722,0.010350172122542745,8.53168099982879e-05,8.40765908420332e-06
38,2e-05,0.01403313084170638,558,438,2,65,2.0,5173.411044840865,5173.393467234823,0.017577606041302055,3.3976820880743965e-06,4.4638354545516205e-05,4.4638354545516205e-05,0.0018134490865975295,2.6629717899349463e-05,1.3697945239709415e-06
38,1e-05,0.00701656542085319,689,569,2,103,2.0,5173.411044840865,5173.400553730572,0.010491110292124196,2.0278903418251207e-06,2.4798870634527243e-05,2.4798870634527243e-05,,,
39,0.001,0.701656542085319,65,33,2,3,2.0,5008.305865176797,5008.293805742826,0.012059433970826205,2.407886877412288e-06,1.9706511072622926e-05,1.9706511072622926e-05,0.003340862655250021,1.206631821219231e-05,1.0458340299670642e-06
39,0.0005,0.3508282710426595,67,35,2,3,2.0,5008.305865176797,5008.299043592398,0.006821584398757352,1.3620542719222572e-06,1.9706511072622926e-05,1.9706511072622926e-05,0.0024708152633934333,1.478010877299446e-05,9.232993853891313e-07
39,0.0002,0.1403313084170638,73,41,2,5,2.0,5008.305865176797,5008.303667756097,0.0021974207000141632,4.387552915433995e-07,4.926475113466511e-06,4.926475113466511e-06,0.0006177079607141422,2.7784560812600776e-06,2.180262630607315e-07
39,0.0001,0.0701656542085319,79,47,2,9,2.0,5008.305865176797,5008.304759698068,0.0011054787279363154,2.2072907639743188e-07,4.926475113466511e-06,4.926475113466511e-06,0.00022331411327769501,3.6948704249902534e-06,1.1103090745182247e-07
39,5e-05,0.03508282710426595,88,56,2,9,2.0,5008.305865176797,5008.305315774752,0.0005494020439513747,1.0969818112975423e-07,1.2316092391128105e-06,1.2316092391128105e-06,0.00015442724907188676,6.946088812838381e-07,5.538097731654327e-08
39,2e-05,0.01403313084170638,102,70,2,17,2.0,5008.305865176797,5008.30559313961,0.0002720371853328629,5.4317206787301476e-08,1.2316092391128105e-06,1.2316092391128105e-06,5.582798781489373e-05,9.23707810028177e-07,2.688618275191022e-08
39,1e-05,0.00701656542085319,118,86,2,17,2.0,5008.305865176797,5008.305727793833,0.00013738296304666164,2.74310249303857e-08,3.0790171349585104e-07,3.0790171349585104e-07,,,
