event_id,environment_id,event_type,x,y,segment_a_id,segment_b_id,shape_a_id,shape_b_id,t_a,t_b,residual,residual_unity_world_units,same_shape,source_anomaly_involved,navigability_status,refinement_method,status,review_notes
env38_intersection_event_0003,38,interior_interior_crossing,262.28172874781603,113.51550704592258,env38_shape_4330855546755831596_segment_0001,env38_shape_4330855547524397474_segment_0006,env38_shape_4330855546755831596,env38_shape_4330855547524397474,0.00903740298493366,0.6711893188403144,2.8563464471519893e-13,2.8563464471519893e-13,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0004,38,interior_interior_crossing,213.26339857793653,122.85624279248208,env38_shape_4330855546755831596_segment_0001,env38_shape_4330855547529842337_segment_0007,env38_shape_4330855546755831596,env38_shape_4330855547529842337,0.2822276724981634,0.04177815504215107,5.859285502108464e-14,5.859285502108464e-14,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0005,38,interior_interior_crossing,160.78771136749288,171.92163064013758,env38_shape_4330855546755831596_segment_0001,env38_shape_4330855547529842337_segment_0024,env38_shape_4330855546755831596,env38_shape_4330855547529842337,0.7609057098826607,0.9991786748402769,5.115907697472721e-13,5.115907697472721e-13,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0007,38,interior_interior_crossing,154.78392562977393,232.21235664385358,env38_shape_4330855546755831596_segment_0002,env38_shape_4330855547456548042_segment_0024,env38_shape_4330855546755831596,env38_shape_4330855547456548042,0.10999804792059287,0.7650728748756577,5.684341886080802e-14,5.684341886080802e-14,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0008,38,interior_interior_crossing,168.96919807238766,265.55446186019265,env38_shape_4330855546755831596_segment_0002,env38_shape_4330855547456548042_segment_0029,env38_shape_4330855546755831596,env38_shape_4330855547456548042,0.3298226033878795,0.9888983595642107,1.1718571004216928e-13,1.1718571004216928e-13,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0009,38,interior_interior_crossing,248.30246447944654,309.18429640574766,env38_shape_4330855546755831596_segment_0002,env38_shape_4330855547524397474_segment_0009,env38_shape_4330855546755831596,env38_shape_4330855547524397474,0.943067496404673,0.4169901081714532,2.842170943040401e-14,2.842170943040401e-14,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0011,38,interior_interior_crossing,329.3805004360571,285.51197827003364,env38_shape_4330855546755831596_segment_0003,env38_shape_4330855547456548042_segment_0012,env38_shape_4330855546755831596,env38_shape_4330855547456548042,0.5426699514470353,0.028877699793655603,5.684341886080802e-14,5.684341886080802e-14,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0012,38,interior_interior_crossing,355.00051617586644,253.097946,env38_shape_4330855546755831596_segment_0003,env38_shape_4330855547456548042_segment_0019,env38_shape_4330855546755831596,env38_shape_4330855547456548042,0.26048636424099986,0.9344544301852327,5.684341886080802e-14,5.684341886080802e-14,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0013,38,interior_interior_crossing,338.47904442174206,146.69220044016896,env38_shape_4330855546755831596_segment_0004,env38_shape_4330855547456548042_segment_0007,env38_shape_4330855546755831596,env38_shape_4330855547456548042,0.46451197204983347,0.9779691793913801,1.4210854715202004e-13,1.4210854715202004e-13,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0014,38,interior_interior_crossing,337.36935592496917,145.52792445146434,env38_shape_4330855546755831596_segment_0004,env38_shape_4330855547524397474_segment_0016,env38_shape_4330855546755831596,env38_shape_4330855547524397474,0.47588062802373104,0.9571461249386873,1.1718571004216928e-13,1.1718571004216928e-13,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
env38_intersection_event_0015,38,interior_interior_crossing,358.3434473403574,178.83361715343153,env38_shape_4330855546755831596_segment_0004,env38_shape_4330855547529842337_segment_0022,env38_shape_4330855546755831596,env38_shape_4330855547529842337,0.20389803406285978,0.28215709718633747,5.684341886080802e-14,5.684341886080802e-14,False,False,requires_3d_review,Phase 7 Shapely seed + bounded SciPy refinement; independent source-equation resultant confirmation,refined,
