event_id,review_location_id,environment_id,event_type,x,y,segment_a_id,segment_b_id,shape_a_id,shape_b_id,t_a,t_b,residual,same_shape,source_anomaly_involved,mapped_3d_position_if_available,navigability_decision,evidence_type,unity_source_path,unity_object_or_hierarchy_if_available,evidence_summary,manual_review_notes
env38_intersection_event_0003,E38-C001,38,interior_interior_crossing,262.28172874781603,113.51550704592258,env38_shape_4330855546755831596_segment_0001,env38_shape_4330855547524397474_segment_0006,env38_shape_4330855546755831596,env38_shape_4330855547524397474,0.00903740298493366,0.6711893188403144,2.8563464471519893e-13,False,False,"VirEnv_38 prefab-local XZ (-13.946407045, -3.967641302); Y unavailable",connected_same_level,manual_unity_3d_visual_inspection,Assets/Tools/VirtualEnvironmentCreation/2DMapPrefabs/2D Map Vir 38.prefab; Assets/Prefabs/VIrtualEnvironments/VirEnv_38.prefab; Assets/Terrain Data/Terrain_Data_VirEnv38.asset; Assets/Tools/VirtualEnvironmentCreation/Scripts/Map2D.cs,"VirEnv_38/Terrain; Bridges hierarchy present, but no canonical road-segment association is serialized",Researcher manually inspected the corresponding crossing in the 3D Unity environment and confirmed both road trajectories meet on the same navigable surface with no road-over-road or road-under-road grade separation.,Manual review completed by the researcher. Both road trajectories were observed to meet on the same navigable surface; no road-over-road or road-under-road grade separation was observed.
env38_intersection_event_0004,E38-C002,38,interior_interior_crossing,213.26339857793653,122.85624279248208,env38_shape_4330855546755831596_segment_0001,env38_shape_4330855547529842337_segment_0007,env38_shape_4330855546755831596,env38_shape_4330855547529842337,0.2822276724981634,0.04177815504215107,5.859285502108464e-14,False,False,"VirEnv_38 prefab-local XZ (-63.011134154, 5.380421378); Y unavailable",connected_same_level,manual_unity_3d_visual_inspection,Assets/Tools/VirtualEnvironmentCreation/2DMapPrefabs/2D Map Vir 38.prefab; Assets/Prefabs/VIrtualEnvironments/VirEnv_38.prefab; Assets/Terrain Data/Terrain_Data_VirEnv38.asset; Assets/Tools/VirtualEnvironmentCreation/Scripts/Map2D.cs,"VirEnv_38/Terrain; Bridges hierarchy present, but no canonical road-segment association is serialized",Researcher manually inspected the corresponding crossing in the 3D Unity environment and confirmed both road trajectories meet on the same navigable surface with no road-over-road or road-under-road grade separation.,Manual review completed by the researcher. Both road trajectories were observed to meet on the same navigable surface; no road-over-road or road-under-road grade separation was observed.
env38_intersection_event_0005,E38-C003,38,interior_interior_crossing,160.78771136749288,171.92163064013758,env38_shape_4330855546755831596_segment_0001,env38_shape_4330855547529842337_segment_0024,env38_shape_4330855546755831596,env38_shape_4330855547529842337,0.7609057098826607,0.9991786748402769,5.115907697472721e-13,False,False,"VirEnv_38 prefab-local XZ (-115.536490769, 54.484296436); Y unavailable",connected_same_level,manual_unity_3d_visual_inspection,Assets/Tools/VirtualEnvironmentCreation/2DMapPrefabs/2D Map Vir 38.prefab; Assets/Prefabs/VIrtualEnvironments/VirEnv_38.prefab; Assets/Terrain Data/Terrain_Data_VirEnv38.asset; Assets/Tools/VirtualEnvironmentCreation/Scripts/Map2D.cs,"VirEnv_38/Terrain; Bridges hierarchy present, but no canonical road-segment association is serialized",Researcher manually inspected the corresponding crossing in the 3D Unity environment and confirmed both road trajectories meet on the same navigable surface with no road-over-road or road-under-road grade separation.,Manual review completed by the researcher. Both road trajectories were observed to meet on the same navigable surface; no road-over-road or road-under-road grade separation was observed.
env38_intersection_event_0007,E38-C004,38,interior_interior_crossing,154.78392562977393,232.21235664385358,env38_shape_4330855546755831596_segment_0002,env38_shape_4330855547456548042_segment_0024,env38_shape_4330855546755831596,env38_shape_4330855547456548042,0.10999804792059287,0.7650728748756577,5.684341886080802e-14,False,False,"VirEnv_38 prefab-local XZ (-121.545959224, 114.822314878); Y unavailable",connected_same_level,manual_unity_3d_visual_inspection,Assets/Tools/VirtualEnvironmentCreation/2DMapPrefabs/2D Map Vir 38.prefab; Assets/Prefabs/VIrtualEnvironments/VirEnv_38.prefab; Assets/Terrain Data/Terrain_Data_VirEnv38.asset; Assets/Tools/VirtualEnvironmentCreation/Scripts/Map2D.cs,"VirEnv_38/Terrain; Bridges hierarchy present, but no canonical road-segment association is serialized",Researcher manually inspected the corresponding crossing in the 3D Unity environment and confirmed both road trajectories meet on the same navigable surface with no road-over-road or road-under-road grade separation.,Manual review completed by the researcher. Both road trajectories were observed to meet on the same navigable surface; no road-over-road or road-under-road grade separation was observed.
env38_intersection_event_0008,E38-C005,38,interior_interior_crossing,168.96919807238766,265.55446186019265,env38_shape_4330855546755831596_segment_0002,env38_shape_4330855547456548042_segment_0029,env38_shape_4330855546755831596,env38_shape_4330855547456548042,0.3298226033878795,0.9888983595642107,1.1718571004216928e-13,False,False,"VirEnv_38 prefab-local XZ (-107.347260105, 148.190573858); Y unavailable",connected_same_level,manual_unity_3d_visual_inspection,Assets/Tools/VirtualEnvironmentCreation/2DMapPrefabs/2D Map Vir 38.prefab; Assets/Prefabs/VIrtualEnvironments/VirEnv_38.prefab; Assets/Terrain Data/Terrain_Data_VirEnv38.asset; Assets/Tools/VirtualEnvironmentCreation/Scripts/Map2D.cs,"VirEnv_38/Terrain; Bridges hierarchy present, but no canonical road-segment association is serialized",Researcher manually inspected the corresponding crossing in the 3D Unity environment and confirmed both road trajectories meet on the same navigable surface with no road-over-road or road-under-road grade separation.,Manual review completed by the researcher. Both road trajectories were observed to meet on the same navigable surface; no road-over-road or road-under-road grade separation was observed.
env38_intersection_event_0009,E38-C006,38,interior_interior_crossing,248.30246447944654,309.18429640574766,env38_shape_4330855546755831596_segment_0002,env38_shape_4330855547524397474_segment_0009,env38_shape_4330855546755831596,env38_shape_4330855547524397474,0.943067496404673,0.4169901081714532,2.842170943040401e-14,False,False,"VirEnv_38 prefab-local XZ (-27.938902998, 191.854631930); Y unavailable",connected_same_level,manual_unity_3d_visual_inspection,Assets/Tools/VirtualEnvironmentCreation/2DMapPrefabs/2D Map Vir 38.prefab; Assets/Prefabs/VIrtualEnvironments/VirEnv_38.prefab; Assets/Terrain Data/Terrain_Data_VirEnv38.asset; Assets/Tools/VirtualEnvironmentCreation/Scripts/Map2D.cs,"VirEnv_38/Terrain; Bridges hierarchy present, but no canonical road-segment association is serialized",Researcher manually inspected the corresponding crossing in the 3D Unity environment and confirmed both road trajectories meet on the same navigable surface with no road-over-road or road-under-road grade separation.,Manual review completed by the researcher. Both road trajectories were observed to meet on the same navigable surface; no road-over-road or road-under-road grade separation was observed.
env38_intersection_event_0011,E38-C007,38,interior_interior_crossing,329.3805004360571,285.51197827003364,env38_shape_4330855546755831596_segment_0003,env38_shape_4330855547456548042_segment_0012,env38_shape_4330855546755831596,env38_shape_4330855547456548042,0.5426699514470353,0.028877699793655603,5.684341886080802e-14,False,False,"VirEnv_38 prefab-local XZ (53.215875122, 168.163745074); Y unavailable",connected_same_level,manual_unity_3d_visual_inspection,Assets/Tools/VirtualEnvironmentCreation/2DMapPrefabs/2D Map Vir 38.prefab; Assets/Prefabs/VIrtualEnvironments/VirEnv_38.prefab; Assets/Terrain Data/Terrain_Data_VirEnv38.asset; Assets/Tools/VirtualEnvironmentCreation/Scripts/Map2D.cs,"VirEnv_38/Terrain; Bridges hierarchy present, but no canonical road-segment association is serialized",Researcher manually inspected the corresponding crossing in the 3D Unity environment and confirmed both road trajectories meet on the same navigable surface with no road-over-road or road-under-road grade separation.,Manual review completed by the researcher. Both road trajectories were observed to meet on the same navigable surface; no road-over-road or road-under-road grade separation was observed.
env38_intersection_event_0012,E38-C008,38,interior_interior_crossing,355.00051617586644,253.097946,env38_shape_4330855546755831596_segment_0003,env38_shape_4330855547456548042_segment_0019,env38_shape_4330855546755831596,env38_shape_4330855547456548042,0.26048636424099986,0.9344544301852327,5.684341886080802e-14,False,False,"VirEnv_38 prefab-local XZ (78.860140777, 135.724287026); Y unavailable",connected_same_level,manual_unity_3d_visual_inspection,Assets/Tools/VirtualEnvironmentCreation/2DMapPrefabs/2D Map Vir 38.prefab; Assets/Prefabs/VIrtualEnvironments/VirEnv_38.prefab; Assets/Terrain Data/Terrain_Data_VirEnv38.asset; Assets/Tools/VirtualEnvironmentCreation/Scripts/Map2D.cs,"VirEnv_38/Terrain; Bridges hierarchy present, but no canonical road-segment association is serialized",Researcher manually inspected the corresponding crossing in the 3D Unity environment and confirmed both road trajectories meet on the same navigable surface with no road-over-road or road-under-road grade separation.,Manual review completed by the researcher. Both road trajectories were observed to meet on the same navigable surface; no road-over-road or road-under-road grade separation was observed.
env38_intersection_event_0013,E38-C009,38,interior_interior_crossing,338.47904442174206,146.69220044016896,env38_shape_4330855546755831596_segment_0004,env38_shape_4330855547456548042_segment_0007,env38_shape_4330855546755831596,env38_shape_4330855547456548042,0.46451197204983347,0.9779691793913801,1.4210854715202004e-13,False,False,"VirEnv_38 prefab-local XZ (62.323031082, 29.235076106); Y unavailable",connected_same_level,manual_unity_3d_visual_inspection,Assets/Tools/VirtualEnvironmentCreation/2DMapPrefabs/2D Map Vir 38.prefab; Assets/Prefabs/VIrtualEnvironments/VirEnv_38.prefab; Assets/Terrain Data/Terrain_Data_VirEnv38.asset; Assets/Tools/VirtualEnvironmentCreation/Scripts/Map2D.cs,"VirEnv_38/Terrain; Bridges hierarchy present, but no canonical road-segment association is serialized",Researcher manually inspected the corresponding crossing in the 3D Unity environment and confirmed both road trajectories meet on the same navigable surface with no road-over-road or road-under-road grade separation.,Manual review completed by the researcher. Both road trajectories were observed to meet on the same navigable surface; no road-over-road or road-under-road grade separation was observed.
env38_intersection_event_0014,E38-C010,38,interior_interior_crossing,337.36935592496917,145.52792445146434,env38_shape_4330855546755831596_segment_0004,env38_shape_4330855547524397474_segment_0016,env38_shape_4330855546755831596,env38_shape_4330855547524397474,0.47588062802373104,0.9571461249386873,1.1718571004216928e-13,False,False,"VirEnv_38 prefab-local XZ (61.212292241, 28.069886852); Y unavailable",connected_same_level,manual_unity_3d_visual_inspection,Assets/Tools/VirtualEnvironmentCreation/2DMapPrefabs/2D Map Vir 38.prefab; Assets/Prefabs/VIrtualEnvironments/VirEnv_38.prefab; Assets/Terrain Data/Terrain_Data_VirEnv38.asset; Assets/Tools/VirtualEnvironmentCreation/Scripts/Map2D.cs,"VirEnv_38/Terrain; Bridges hierarchy present, but no canonical road-segment association is serialized",Researcher manually inspected the corresponding crossing in the 3D Unity environment and confirmed both road trajectories meet on the same navigable surface with no road-over-road or road-under-road grade separation.,Manual review completed by the researcher. Both road trajectories were observed to meet on the same navigable surface; no road-over-road or road-under-road grade separation was observed.
